epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
98,27.3841,2.82695,1.17561,0.88664,0.57466,0.55818,0.52967,0.20831,2.36396,1.32872,0.91836,0.00100851,0.00100851,0.00100851
99,27.5977,3.03442,1.22253,0.88624,0.57466,0.55818,0.52967,0.20831,2.36396,1.32872,0.91836,0.0010092,0.0010092,0.0010092
100,27.8328,2.49353,1.09079,0.88802,0.58202,0.5683,0.54337,0.22052,2.36333,1.28486,0.91545,0.0010097,0.0010097,0.0010097
101,28.0376,2.65433,1.20272,0.88932,0.58202,0.5683,0.54337,0.22052,2.36333,1.28486,0.91545,0.00101,0.00101,0.00101
102,28.2351,2.51111,1.13951,0.88657,0.58202,0.5683,0.54337,0.22052,2.36333,1.28486,0.91545,0.0010001,0.0010001,0.0010001
103,28.4902,2.08692,1.03466,0.9573,0.58202,0.5683,0.54337,0.22052,2.36333,1.28486,0.91545,0.0009902,0.0009902,0.0009902
104,28.6981,2.95353,1.18979,0.86009,0.61455,0.58516,0.58362,0.24142,2.27756,1.26048,0.90163,0.0009803,0.0009803,0.0009803
105,28.9388,2.69787,1.21407,0.88495,0.61455,0.58516,0.58362,0.24142,2.27756,1.26048,0.90163,0.0009704,0.0009704,0.0009704
106,29.1512,2.65735,1.18336,0.86953,0.61455,0.58516,0.58362,0.24142,2.27756,1.26048,0.90163,0.0009605,0.0009605,0.0009605
107,29.3637,2.32476,1.10558,0.91183,0.61455,0.58516,0.58362,0.24142,2.27756,1.26048,0.90163,0.0009506,0.0009506,0.0009506
108,29.5802,2.2303,1.09984,0.89121,0.60935,0.59865,0.57881,0.24521,2.27476,1.22284,0.90388,0.0009407,0.0009407,0.0009407
109,29.789,1.95429,1.06502,0.92683,0.60935,0.59865,0.57881,0.24521,2.27476,1.22284,0.90388,0.0009308,0.0009308,0.0009308
110,30.0052,2.56885,1.24889,0.89423,0.60935,0.59865,0.57881,0.24521,2.27476,1.22284,0.90388,0.0009209,0.0009209,0.0009209
111,30.2121,2.38826,1.09869,0.89541,0.60935,0.59865,0.57881,0.24521,2.27476,1.22284,0.90388,0.000911,0.000911,0.000911
112,30.4222,2.45953,1.14478,0.90126,0.56695,0.54637,0.52884,0.21202,2.41927,1.17924,0.93496,0.0009011,0.0009011,0.0009011
113,30.6247,2.47223,1.13629,0.89318,0.56695,0.54637,0.52884,0.21202,2.41927,1.17924,0.93496,0.0008912,0.0008912,0.0008912
